楼盘名称,租赁方式,户型,面积,朝向,房租,更新时间,采集时间,城市,区域,街道或片区,地段,地址,公交站,主图链接,楼盘详情链接,页面网址,标签
新出房源 能长租 南北通透二居 电梯房,整租,3室1厅,71㎡,朝南,8700元/月,,2018-11-02 21:40:25,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418003424_1.htm,http://zu.fang.com/house-a01-b01121/,
外馆西街 安华西里精装一居室 真实图片 随时看房 可长签,整租,1室1厅,50㎡,朝南,5600元/月,,2018-11-02 21:40:25,北京,朝阳,安贞,安华西里,朝阳-安贞-安华西里,距8号线安华桥站约795米，距安贞桥北公交站约633米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419296039_1.htm,http://zu.fang.com/house-a01-b01121/,周边配套齐/全装全配/首次出租
安贞安华里四区 南北通透两居室 心怡大厦 环球贸易 带客厅,整租,2室0厅,66㎡,朝南,6600元/月,,2018-11-02 21:40:25,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419399560_1.htm,http://zu.fang.com/house-a01-b01121/,南北通透/采光好/周边配套齐
"胜古馨园小区,业主直租三室两卫,装修温馨,拎包入住",整租,3室1厅,145㎡,朝南,16000元/月,,2018-11-02 21:40:25,北京,朝阳,安贞,胜古馨园,朝阳-安贞-胜古馨园,距5号线和平西桥站约552米，距安贞桥北公交站约651米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419425499_1.htm,http://zu.fang.com/house-a01-b01121/,
"视频看房,相寓新装一居室,安贞西里,安华西里,北土城,安华桥",整租,1室1厅,45㎡,朝南,5600元/月,,2018-11-02 21:40:25,北京,朝阳,安贞,安贞西里,朝阳-安贞-安贞西里,距8号线安华桥站约324米，距安贞桥西公交站约558米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417705334_1.htm,http://zu.fang.com/house-a01-b01121/,交通便利/周边配套齐/采光好
"安贞西里四区精装一居室,安贞华联附近,木偶剧院",整租,1室1厅,40㎡,朝南,5500元/月,,2018-11-02 21:40:25,北京,朝阳,安贞,安贞西里,朝阳-安贞-安贞西里,距8号线安华桥站约324米，距安贞桥西公交站约558米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419387023_1.htm,http://zu.fang.com/house-a01-b01121/,交通便利
安贞里四区三家合住次卧,合租主卧,2户合租,12㎡,朝西,3200元/月,,2018-11-02 21:40:26,北京,朝阳,安贞,安贞里,朝阳-安贞-安贞里,距10号线安贞门站约560米，距安贞桥北公交站约400米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419420141_1.htm,http://zu.fang.com/house-a01-b01121/,周边配套齐/采光好/全装全配
安华里 安贞里 安贞桥 两居室出租,整租,2室1厅,58㎡,朝东,6500元/月,,2018-11-02 21:40:26,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419220938_1.htm,http://zu.fang.com/house-a01-b01121/,交通便利/周边配套齐/采光好
精装南向一居 看房方便有钥匙,整租,1室1厅,42㎡,朝南,5600元/月,,2018-11-02 21:40:26,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419180628_1.htm,http://zu.fang.com/house-a01-b01121/,采光好/交通便利/全装全配
朝阳 安贞 安华里精装一居 东南朝向 柳荫公园 8号线,整租,1室1厅,52㎡,朝东,5700元/月,,2018-11-02 21:40:26,北京,朝阳,安贞,安华里,朝阳-安贞-安华里,距安贞桥北公交站约764米。,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419208177_1.htm,http://zu.fang.com/house-a01-b01121/,采光好/交通便利/周边配套齐
